#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:twin" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:twin" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:twin" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:twin" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:twin">
#                    <taxonset id="TaxonSet.twin" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:twin" name="distribution" x="@popSize.t:twin">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:twin" name="distribution">
#            <parameter id="ucldStdev.c:twin" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin" id="treeLikelihood.twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin">
#            <siteModel id="SiteModel.s:twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:twin">
#                <LogNormal S="@ucldStdev.c:twin" id="LogNormalDistributionModel.c:twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:twin" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	popSize	CoalescentConstant
0	-7753.045463349275	-7729.651208818074	-23.39425453120083	-7729.651208818074	3.6143155564587808	0.1	0.9789087664533511	0.004817612021413343	0.06821694221231839	0.3	-25.417591480647566
1000	-5180.664463812526	-5180.508084733962	-0.15637907856375993	-5180.508084733962	1.0462708775876453	0.16218572748032256	1.0005713283702353	0.03969437619223907	0.1949419979835168	0.4885615145358507	-1.306564095251903
2000	-5178.110846859535	-5176.001007067862	-2.10983979167306	-5176.001007067862	1.0859127760027103	0.217995610013102	0.8977974001308735	0.023675195747933073	0.17102345843107347	0.8845490966611748	-2.3841193804230576
3000	-5179.162151349012	-5178.377838119799	-0.7843132292131951	-5178.377838119799	0.9828110615967982	0.16135167970231157	0.9423800027366251	0.011040956488589083	0.11474429499972413	0.2606098926457479	-2.5674966902244156
4000	-5182.0296327044025	-5181.1729362796905	-0.8566964247116016	-5181.1729362796905	0.769322848911637	0.20002892881883133	1.0509366282441595	0.019532830639802518	0.13702484900012	0.7376784285483792	-1.3991919003914224
5000	-5176.71231472201	-5176.9368476028485	0.22453288083857492	-5176.9368476028485	0.6972581087055892	0.3836882157796379	1.267844624866768	0.16169861584425954	0.37534649001003156	0.3850948775025597	-0.18718152738681804
6000	-5179.002188807373	-5178.572970694018	-0.42921811335501087	-5178.572970694018	0.7574982895188965	0.20138504980851288	1.125878903482605	0.053602413886929094	0.22805328782024162	0.6700844537211096	-1.0611560398437745
7000	-5178.321255122677	-5177.806415581742	-0.5148395409353629	-5177.806415581742	0.7321049207578882	0.3675371266300948	1.1667354366890883	0.14354556666178248	0.4032304497085997	0.3086028066915327	-1.210080000177677
8000	-5177.554810858298	-5175.779358836314	-1.7754520219843988	-5175.779358836314	0.7333063659768861	0.49412653493388586	1.0531560094279897	0.20368423869360378	0.46822511571177555	0.40733679215636576	-1.7253711749377776
9000	-5181.28185641209	-5178.885444112263	-2.396412299826394	-5178.885444112263	0.6646857543386462	0.4759016928920388	1.1084418726306258	0.37474084785776424	0.6846236390507118	0.6336428674367258	-1.9695097836916204
10000	-5180.5722819046005	-5179.671395765609	-0.9008861389914563	-5179.671395765609	0.7203575117359073	0.4037373269040612	1.0954721818669308	0.18012518550741885	0.45697388029008895	0.3680398427572913	-1.2819506523577382
11000	-5178.928076506591	-5175.744580161196	-3.183496345395815	-5175.744580161196	0.6983563207632518	0.6169633845506632	1.2686517640394146	0.35880881200409626	0.6332082951062091	0.875785179039568	-1.9440712649159384
12000	-5176.558174738233	-5172.952402660204	-3.6057720780293048	-5172.952402660204	0.9883458101649738	0.6169633845506632	0.9102209801616008	0.4109969537373813	0.8397553027942363	0.7401211694972545	-2.5346539136475634
